order	species	body	brain
Artiodactyla	Cervus elaphus	141.89	326655
Artiodactyla	Cervus nippon	46	211050
Artiodactyla	Mazama americana	34.61	58800
Artiodactyla	Odocoileus virginianus	101.79	150990
Artiodactyla	Dama dama	115.38	225750
Artiodactyla	Alces	200.54	456750
Artiodactyla	Capreolus	68.48	105210
Artiodactyla	Rangifer tarandus	145.49	283920
Artiodactyla	Antilope	79.85	173250
Artiodactyla	Samotherium	630	441000
Artiodactyla	Muntiacus muntjak	65.67	128100
Artiodactyla	Dicrocerus	47	157500
Artiodactyla	Aletomeryx	16	47250
Artiodactyla	Giraffa camelopardalis	318.85	739095
Artiodactyla	Okapia johnstoni	217.07	526050
Artiodactyla	Hydropotes inermis	57.57	55650
Artiodactyla	Dremotherium	19	55650
Artiodactyla	Leptomeryx	2.25	23100
Artiodactyla	Hypertragulus	1.03	8925
Artiodactyla	Agriochoerus	38.24	79800
Artiodactyla	Protoreodon	7.57	25200
Artiodactyla	Hyemoschus aquaticus aquaticus	56.23	26197.5
Artiodactyla	Tragulus javanicus javanicus	32.37	15277.5
Artiodactyla	Tragulus napu napu	28.29	18480
Artiodactyla	Archaeotherium	230	199500
Artiodactyla	Phacochoerus africanus	126.01	138285
Artiodactyla	Babyrousa babyrussa	133.23	133350
Artiodactyla	Hylochoerus meinertzhageni	200.54	147000
Artiodactyla	Tayassu pecari	80.26	110355
Artiodactyla	Potomochoerus porcus	130.98	144900
Artiodactyla	Sus scrofa	124.64	189420
Artiodactyla	Procamelus	310	399000
Artiodactyla	Promerycochoerus	210	168000
Artiodactyla	Protolabis	97	147000
Artiodactyla	Leptauchaenia	2.1	21000
Artiodactyla	Miniochoerus	4.85	31500
Artiodactyla	Cainotherium	0.46	5460
Artiodactyla	Bathygenys	1.09	14700
Artiodactyla	Merycoidodon	16.76	57750
Artiodactyla	Homacodon	0.86	9975
Artiodactyla	Camelus bactrianus	400	604800
Artiodactyla	Lama glama	80	243600
Artiodactyla	Eporeodon majori	22.39	80850
Artiodactyla	Lama pacos	55	186900
Artiodactyla	Eporeodon socialis	16.76	48300
Carnivora	Poecilogale albinucha	0.34	4998
Carnivora	Bassaricyon alleni	1.24	19404
Carnivora	Mustela altaica	0.17	4725
Carnivora	Pseudocyonopsis ambiguus	65.03	71400
Carnivora	Martes americana	1.25	16590
Carnivora	Ursus americanus	99.95	272811
Carnivora	Ursus arctos	172.72	355215
Carnivora	Bassariscus astutus	1.13	17262
Carnivora	Eira barbara	3.91	37663.5
Carnivora	Adilophontes brachykolos	167.08	100096.5
Carnivora	Pteronura brasiliensis	24	89911.5
Carnivora	Lontra canadensis	8.09	55629
Carnivora	Procyon cancrivorus	6.95	62422.5
Carnivora	Aonyx capensis	19	99361.5
Carnivora	Mellivora capensis	8.5	76618.5
Carnivora	Conepatus chinga	1.92	15519
Carnivora	Martinogale chisoensis	0.72	4210.5
Carnivora	Amblonyx cinereus	1.75	39984
Carnivora	Miacis cognitus	2.65	12579
Carnivora	Arctonyx collaris	6.36	51870
Carnivora	Parataxidea crassa	4.5	43879.5
Carnivora	Plesiogulo crassa	28.99	69184.5
Carnivora	Galictis cuja	1	15781.5
Carnivora	Paradaphoenus cuspigerus	2.84	22596
Carnivora	Zodiolestes daimonelixensis	5.72	33589.5
Carnivora	Promartes darbyi	2.6	15267
Carnivora	Ursus deningeri	153.83	396900
Carnivora	Sinictis dolichognathus	2.22	20664
Carnivora	Mustela erminea	0.12	4200
Carnivora	Martinogale faulli	0.24	2257.5
Carnivora	Lontra felina	4.5	40803
Carnivora	Martes flavigula	1.84	35826
Carnivora	Potos flavus	3	26806.5
Carnivora	Tremarctos floridanus	150	330382.5
Carnivora	Martes foina	1.54	21955.5
Carnivora	Mustela frenata	0.15	4210.5
Carnivora	Amphicyon galushai	258.48	266091
Carnivora	Ischyrocyon gidleyi	500.37	326980.5
Carnivora	Kinometaxia guangpui	2.28	15855
Carnivora	Gulo gulo	17.01	82173
Carnivora	Daphoenus hartshornianus	9.35	52122
Carnivora	Promephitis hootoni	1.53	12463.5
Carnivora	Paragale huerzeleri	2.77	19372.5
Carnivora	Conepatus humboldtii	1.32	13198.5
Carnivora	Amphicyon ingens	311.82	270837
Carnivora	Mydaus javanensis	2.5	20464.5
Carnivora	Mustela kathiah	0.21	4630.5
Carnivora	Bathygale lemanensis	2.02	11529
Carnivora	Conepatus leuconotus	3.5	15162
Carnivora	Ictonyx libyca	0.63	4704
Carnivora	Amphicyon longiramus	162.69	283815
Carnivora	Procyon lotor	5.53	42042
Carnivora	Lutra lutra	8.79	44205
Carnivora	Mustela lutreola	0.44	8925
Carnivora	Enhydra lutris	23.5	131470.5
Carnivora	Mephitis macroura	1.03	10573.5
Carnivora	Lutra maculicollis	4	42042
Carnivora	Promephitis majori	0.99	6972
Carnivora	Helarctos malayanus	46.5	362512.5
Carnivora	Ursus maritimus	388.75	482412
Carnivora	Martes martes	1.3	21000
Carnivora	Pliocyon medius	181.2	233331
Carnivora	Ailuropoda melanoleuca	108.4	246855
Carnivora	Meles meles	13	52920
Carnivora	Mephitis mephitis	2.09	10794
Carnivora	Conepatus mesoleucus	2.01	16275
Carnivora	Melogale moschata	0.81	15823.5
Carnivora	Nasua narica	3.87	31458
Carnivora	Pliotaxidea nevadensis	2.4	23583
Carnivora	Mustela nigripes	0.1	2089.5
Carnivora	Mustela nivalis	0.05	1911
Carnivora	Indarctos oregonensis	545.49	678825
Carnivora	Tremarctos ornatus	110	205033.5
Carnivora	Promeles palaeattica	6.46	25273.5
Carnivora	Lutra palaeindica	4.72	40813.5
Carnivora	Pekania palaeosinensis	4.05	25441.5
Carnivora	Plesictis palustris	0.67	8442
Carnivora	Plionictis parviloba	1.98	11938.5
Carnivora	Promephitis parvus	0.64	4914
Carnivora	Martes pennanti	4	33411
Carnivora	Vormela peregusna	0.54	4998
Carnivora	Melogale personata	1.7	14521.5
Carnivora	Lutrogale perspicillata	9	67956
Carnivora	Leptarctus primus	2.62	13429.5
Carnivora	Spilogale putorius	0.34	5250
Carnivora	Mustela putorius	0.92	8715
Carnivora	Pseudobassaris riggsi	1.76	10920
Carnivora	Cynelos rugosidens	24.64	120750
Carnivora	Conepatus sanmiguelensis	3.37	17377.5
Carnivora	Conepatus semistriatus	2.04	19866
Carnivora	Amphicticeps shackelfordi	2.14	15865.5
Carnivora	Mustela sibirica	0.41	7087.5
Carnivora	Arctodus simus	328.47	717265.5
Carnivora	Ursus spelaeus	300	685219.5
Carnivora	Ictonyx striatus	1.3	10269
Carnivora	Bassariscus sumichrasti	0.9	20265
Carnivora	Daphoenodon superbus	88.47	139650
Carnivora	Taxidea taxus	7.11	51355.5
Carnivora	Pachycynodon tedfordi	4.89	40950
Carnivora	Enhydritherium terraenovae	17.17	125023.5
Carnivora	Ursus thibetanus	77.5	329899.5
Carnivora	Cephalogale ursinus	26.17	193315.5
Carnivora	Melursus ursinus	93.13	320145
Carnivora	Potamotherium valletoni	7.99	47964
Carnivora	Daphoenus vetus	15.42	66549
Carnivora	Mustela vison	1.5	9261
Carnivora	Galictis vittata	3.2	25515
Carnivora	Martes zibellina	1.13	19425
Carnivora	Canis adustus	10.25	54537
Carnivora	Cuon alpinus	12.76	99750
Carnivora	Canis armbrusteri	47.46	161101.5
Carnivora	Aelurodon asthenostylus	27.01	96925.5
Carnivora	Canis aureus	10.35	75852
Carnivora	Enhydrocyon basilatus	28.99	77364
Carnivora	Vulpes bengalensis	2.73	27090
Carnivora	Mesocyon brachyops	7.29	41317.5
Carnivora	Chrysocyon brachyurus	23.25	126315
Carnivora	Tomarctus brevirostris	19.39	53865
Carnivora	Vulpes chama	2.96	35175
Carnivora	Urocyon cinereoargenteus	3.83	42892.5
Carnivora	Carpocyon compressus	15.42	75201
Carnivora	Microtomarctus conferta	6.71	36676.5
Carnivora	Otarocyon cooki	0.81	11592
Carnivora	Cormocyon copei	3	27720
Carnivora	Mesocyon coryphaeus	10.42	50578.5
Carnivora	Pseudalopex culpaeus	9.83	54075
Carnivora	Eucyon davisi	9	58464
Carnivora	Canis dirus	63.37	186543
Carnivora	Nyctereutes donnezani	8	56122.5
Carnivora	Canis edwardii	28.44	79149
Carnivora	Paratomarctus euthos	13.73	65971.5
Carnivora	Aelurodon ferox	35.75	140731.5
Carnivora	Osbornodon fricki	38.31	106281
Carnivora	Ailurus fulgens	4.9	42892.5
Carnivora	Sunkahetanka geringensis	12.6	57424.5
Carnivora	Hesperocyon gregarious	2.3	15624
Carnivora	Leptocyon gregorii	2.7	16033.5
