pop	sex	gol	nol	bnl	bbh	bpl	jub	zmb
NORSE	M	189	185	100	135	96	118	83
NORSE	M	182	178	102	139	108	118	101
NORSE	M	191	187	102	123	102	112	90
NORSE	M	191	188	100	127	95	114	94
NORSE	M	178	177	97	128	90	115	91
NORSE	M	194	191	106	132	102	117	91
NORSE	M	186	183	95	122	95	114	95
NORSE	M	186	184	103	130	100	118	100
NORSE	M	186	182	96	134	87	115	90
NORSE	M	189	189	101	131	95	115	93
NORSE	M	186	183	107	138	96	118	94
NORSE	M	182	182	99	124	98	114	93
NORSE	M	193	191	101	134	96	117	94
NORSE	M	195	194	105	127	98	116	90
NORSE	M	187	183	103	131	96	116	93
NORSE	M	189	187	97	129	95	119	94
NORSE	M	179	174	101	132	98	123	100
NORSE	M	175	174	100	132	93	115	87
NORSE	M	191	189	109	128	114	127	109
NORSE	M	192	191	100	127	97	118	96
NORSE	M	194	192	104	139	96	117	100
NORSE	M	195	191	100	128	102	119	100
NORSE	M	184	182	102	137	96	113	94
NORSE	M	186	185	109	133	109	124	96
NORSE	M	195	193	102	141	92	114	107
NORSE	M	189	187	102	134	95	118	90
NORSE	M	188	185	101	133	94	114	87
NORSE	M	182	180	104	123	102	116	92
NORSE	M	188	185	100	133	97	115	95
NORSE	M	186	183	104	134	103	124	100
NORSE	M	186	184	96	134	91	121	98
NORSE	M	201	198	107	133	102	122	97
NORSE	M	189	186	97	140	91	120	97
NORSE	M	192	187	99	126	94	117	92
NORSE	M	190	186	106	139	101	116	91
NORSE	M	189	187	104	139	99	124	102
NORSE	M	181	180	98	136	93	117	90
NORSE	M	194	192	105	123	98	119	97
NORSE	M	187	185	98	126	94	120	95
NORSE	M	187	184	105	128	103	119	87
NORSE	M	192	190	102	131	97	112	93
NORSE	M	179	178	103	131	98	115	94
NORSE	M	188	184	105	122	101	112	89
NORSE	M	179	178	101	131	91	112	88
NORSE	M	190	189	99	126	92	119	95
NORSE	M	190	189	101	131	89	115	89
NORSE	M	195	193	101	136	95	115	93
NORSE	M	200	198	112	140	106	123	98
NORSE	M	190	190	101	133	95	114	91
NORSE	M	187	186	98	128	92	116	94
NORSE	M	190	189	99	131	97	112	92
NORSE	M	188	187	98	130	91	111	87
NORSE	M	193	189	104	139	98	116	99
NORSE	M	192	191	102	137	92	121	96
NORSE	M	189	185	106	137	96	121	88
NORSE	F	182	182	97	119	103	110	91
NORSE	F	170	169	91	123	90	110	92
NORSE	F	180	179	98	128	96	110	87
NORSE	F	177	177	92	120	86	106	82
NORSE	F	180	179	99	126	95	113	90
NORSE	F	180	178	99	126	96	113	90
NORSE	F	176	175	92	128	90	110	93
NORSE	F	172	172	94	131	90	109	86
NORSE	F	180	180	95	123	93	106	89
NORSE	F	171	168	88	127	86	105	85
NORSE	F	181	180	102	134	99	112	92
NORSE	F	182	180	96	127	93	106	79
NORSE	F	181	180	101	128	93	107	91
NORSE	F	179	178	96	130	91	103	87
NORSE	F	175	174	101	127	100	110	86
NORSE	F	184	182	97	129	93	111	92
NORSE	F	179	178	97	123	102	114	95
NORSE	F	176	175	99	130	89	114	92
NORSE	F	180	177	95	126	99	112	91
NORSE	F	174	172	91	125	91	116	94
NORSE	F	177	176	92	125	91	106	89
NORSE	F	182	181	97	122	96	113	89
NORSE	F	177	173	99	121	96	111	94
NORSE	F	186	183	101	129	93	108	88
