pop	sex	gol
NORSE	M	189
NORSE	M	182
NORSE	M	191
NORSE	M	191
NORSE	M	178
NORSE	M	194
NORSE	M	186
NORSE	M	186
NORSE	M	186
NORSE	M	189
NORSE	M	186
NORSE	M	182
NORSE	M	193
NORSE	M	195
NORSE	M	187
NORSE	M	189
NORSE	M	179
NORSE	M	175
NORSE	M	191
NORSE	M	192
NORSE	M	194
NORSE	M	195
NORSE	M	184
NORSE	M	186
NORSE	M	195
NORSE	M	189
NORSE	M	188
NORSE	M	182
NORSE	M	188
NORSE	M	186
NORSE	M	186
NORSE	M	201
NORSE	M	189
NORSE	M	192
NORSE	M	190
NORSE	M	189
NORSE	M	181
NORSE	M	194
NORSE	M	187
NORSE	M	187
NORSE	M	192
NORSE	M	179
NORSE	M	188
NORSE	M	179
NORSE	M	190
NORSE	M	190
NORSE	M	195
NORSE	M	200
NORSE	M	190
NORSE	M	187
NORSE	M	190
NORSE	M	188
NORSE	M	193
NORSE	M	192
NORSE	M	189
NORSE	F	182
NORSE	F	170
NORSE	F	180
NORSE	F	177
NORSE	F	180
NORSE	F	180
NORSE	F	176
NORSE	F	172
NORSE	F	180
NORSE	F	171
NORSE	F	181
NORSE	F	182
NORSE	F	181
NORSE	F	179
NORSE	F	175
NORSE	F	184
NORSE	F	179
NORSE	F	176
NORSE	F	180
NORSE	F	174
NORSE	F	177
NORSE	F	182
NORSE	F	177
NORSE	F	186
NORSE	F	176
NORSE	F	181
NORSE	F	176
NORSE	F	183
NORSE	F	174
NORSE	F	184
NORSE	F	188
NORSE	F	178
NORSE	F	189
NORSE	F	180
NORSE	F	187
NORSE	F	178
NORSE	F	178
NORSE	F	180
NORSE	F	177
NORSE	F	189
NORSE	F	184
NORSE	F	182
NORSE	F	181
NORSE	F	176
NORSE	F	179
NORSE	F	187
NORSE	F	180
NORSE	F	180
NORSE	F	180
NORSE	F	193
NORSE	F	178
NORSE	F	188
NORSE	F	179
NORSE	F	176
NORSE	F	177
ZULU	M	189
ZULU	M	176
ZULU	M	182
ZULU	M	192
ZULU	M	189
ZULU	M	191
ZULU	M	176
ZULU	M	182
ZULU	M	190
ZULU	M	194
ZULU	M	182
ZULU	M	186
ZULU	M	195
ZULU	M	185
ZULU	M	180
ZULU	M	186
ZULU	M	184
ZULU	M	172
ZULU	M	190
ZULU	M	187
ZULU	M	194
ZULU	M	196
ZULU	M	179
ZULU	M	191
ZULU	M	188
ZULU	M	189
ZULU	M	180
ZULU	M	185
ZULU	M	191
ZULU	M	183
ZULU	M	187
ZULU	M	176
ZULU	M	180
ZULU	M	184
ZULU	M	182
ZULU	M	186
ZULU	M	180
ZULU	M	194
ZULU	M	188
ZULU	M	179
ZULU	M	190
ZULU	M	180
ZULU	M	174
ZULU	M	178
ZULU	M	182
ZULU	M	190
ZULU	M	180
ZULU	M	182
ZULU	M	182
ZULU	M	192
ZULU	M	183
ZULU	M	181
ZULU	M	196
ZULU	M	182
ZULU	M	190
ZULU	F	179
ZULU	F	177
ZULU	F	190
ZULU	F	186
ZULU	F	185
ZULU	F	181
ZULU	F	182
ZULU	F	175
ZULU	F	178
ZULU	F	182
ZULU	F	185
ZULU	F	175
ZULU	F	176
ZULU	F	179
ZULU	F	176
ZULU	F	181
ZULU	F	189
ZULU	F	173
ZULU	F	178
ZULU	F	173
ZULU	F	181
ZULU	F	186
ZULU	F	186
ZULU	F	174
ZULU	F	176
ZULU	F	174
ZULU	F	177
ZULU	F	176
ZULU	F	185
ZULU	F	174
ZULU	F	184
ZULU	F	171
ZULU	F	181
ZULU	F	174
ZULU	F	183
ZULU	F	174
ZULU	F	172
ZULU	F	179
ZULU	F	175
ZULU	F	179
ZULU	F	177
ZULU	F	186
ZULU	F	173
ZULU	F	182
ZULU	F	181
ZULU	F	172
