species	temp	pulses
O. exclamationis	69.44	67.9
O. exclamationis	69.44	65.1
O. exclamationis	75.2	77.3
O. exclamationis	75.2	78.7
O. exclamationis	75.2	79.4
O. exclamationis	75.2	80.4
O. exclamationis	79.16	85.8
O. exclamationis	79.16	86.6
O. exclamationis	79.16	87.5
O. exclamationis	79.16	89.1
O. exclamationis	83.12	98.6
O. exclamationis	84.2	100.8
O. exclamationis	86.72	99.3
O. exclamationis	86.72	101.7
O. niveus	62.96	44.3
O. niveus	64.94	47.2
O. niveus	64.94	47.6
O. niveus	64.94	49.6
O. niveus	66.02	50.3
O. niveus	66.02	51.8
O. niveus	68.72	60
O. niveus	69.8	58.5
O. niveus	69.8	58.9
O. niveus	71.78	60.7
O. niveus	74.3	69.8
O. niveus	75.56	70.9
O. niveus	78.62	76.2
O. niveus	79.7	76.1
O. niveus	79.7	77
O. niveus	79.7	77.7
O. niveus	83.48	84.7
