ybp	MB	BH	BL	NH
6000	131	138	89	49
6000	125	131	92	48
6000	131	132	99	50
6000	119	132	96	44
6000	136	143	100	54
6000	138	137	89	56
6000	139	130	108	48
6000	125	136	93	48
6000	131	134	102	51
6000	134	134	99	51
6000	129	138	95	50
6000	134	121	95	53
6000	126	129	109	51
6000	132	136	100	50
6000	141	140	100	51
6000	131	134	97	54
6000	135	137	103	50
6000	132	133	93	53
6000	139	136	96	50
6000	132	131	101	49
6000	126	133	102	51
6000	135	135	103	47
6000	134	124	93	53
6000	128	134	103	50
6000	130	130	104	49
6000	138	135	100	55
6000	128	132	93	53
6000	127	129	106	48
6000	131	136	114	54
6000	124	138	101	46
5300	124	138	101	48
5300	133	134	97	48
5300	138	134	98	45
5300	148	129	104	51
5300	126	124	95	45
5300	135	136	98	52
5300	132	145	100	54
5300	133	130	102	48
5300	131	134	96	50
5300	133	125	94	46
5300	133	136	103	53
5300	131	139	98	51
5300	131	136	99	56
5300	138	134	98	49
5300	130	136	104	53
5300	131	128	98	45
5300	138	129	107	53
5300	123	131	101	51
5300	130	129	105	47
5300	134	130	93	54
5300	137	136	106	49
5300	126	131	100	48
5300	135	136	97	52
5300	129	126	91	50
5300	134	139	101	49
5300	131	134	90	53
5300	132	130	104	50
5300	130	132	93	52
5300	135	132	98	54
5300	130	128	101	51
3750	137	141	96	52
3750	129	133	93	47
3750	132	138	87	48
3750	130	134	106	50
3750	134	134	96	45
3750	140	133	98	50
3750	138	138	95	47
3750	136	145	99	55
3750	136	131	92	46
3750	126	136	95	56
3750	137	129	100	53
3750	137	139	97	50
3750	136	126	101	50
3750	137	133	90	49
3750	129	142	104	47
3750	135	138	102	55
3750	129	135	92	50
3750	134	125	90	60
3750	138	134	96	51
3750	136	135	94	53
3750	132	130	91	52
3750	133	131	100	50
3750	138	137	94	51
3750	130	127	99	45
3750	136	133	91	49
3750	134	123	95	52
3750	136	137	101	54
3750	133	131	96	49
3750	138	133	100	55
3750	138	133	91	46
2200	137	134	107	54
2200	141	128	95	53
2200	141	130	87	49
2200	135	131	99	51
2200	133	120	91	46
2200	131	135	90	50
2200	140	137	94	60
2200	139	130	90	48
2200	140	134	90	51
2200	138	140	100	52
2200	132	133	90	53
2200	134	134	97	54
2200	135	135	99	50
2200	133	136	95	52
2200	136	130	99	55
2200	134	137	93	52
2200	131	141	99	55
2200	129	135	95	47
2200	136	128	93	54
2200	131	125	88	48
2200	139	130	94	53
2200	144	124	86	50
2200	141	131	97	53
2200	130	131	98	53
2200	133	128	92	51
2200	138	126	97	54
2200	131	142	95	53
2200	136	138	94	55
2200	132	136	92	52
2200	135	130	100	51
1850	137	123	91	50
1850	136	131	95	49
1850	128	126	91	57
1850	130	134	92	52
1850	138	127	86	47
1850	126	138	101	52
1850	136	138	97	58
1850	126	126	92	45
1850	132	132	99	55
1850	139	135	92	54
1850	143	120	95	51
1850	141	136	101	54
1850	135	135	95	56
1850	137	134	93	53
1850	142	135	96	52
1850	139	134	95	47
1850	138	125	99	51
1850	137	135	96	54
1850	133	125	92	50
1850	145	129	89	47
1850	138	136	92	46
1850	131	129	97	44
1850	143	126	88	54
1850	134	124	91	55
1850	132	127	97	52
1850	137	125	85	57
1850	129	128	81	52
1850	140	135	103	48
1850	147	129	87	48
1850	136	133	97	51
