genotype	length
A	8.26
A	8.18
A	8.61
A	8.65
A	9.12
A	8.23
A	8.99
A	8.61
A	8.37
A	8.11
A	8.05
A	8.36
A	8.1
A	8.54
A	8.26
A	7.98
A	8.45
A	8.28
A	8.42
A	7.99
A	8.67
A	8.1
A	8.83
A	8.4
A	8.05
A	8.94
A	8.64
A	8.8
A	8.73
A	8.95
A	8.49
A	8.35
A	8.7
A	8.32
A	7.77
A	8.33
A	8.67
A	8.78
A	8.56
A	8.59
A	9.06
A	8.87
A	8.69
A	8.6
A	8.66
A	8.55
A	8.25
A	8.25
A	8.7
A	8.67
A	8.01
A	8.16
A	8.52
A	8.19
A	8.13
A	8.55
A	8.08
A	8.82
A	8.8
A	8.51
A	8.4
A	8.36
A	8
A	8.56
A	8.26
A	8.78
A	8.92
A	8.56
A	8.84
A	8.87
A	8.66
B	8.04
B	7.57
B	8.06
B	8.15
B	8.35
B	7.8
B	8.23
B	8.5
B	8.26
B	7.73
B	7.92
B	8.02
B	7.97
B	8.33
B	7.95
B	7.93
B	8.14
B	8.14
B	8.03
B	8.14
B	8.53
B	8.29
B	8.21
B	8.33
B	8.19
B	8.13
B	8.27
B	8.16
B	8.15
B	8.3
B	8.01
B	8.11
B	8.29
B	7.94
B	8.35
B	8.25
B	8.27
B	7.87
B	8.36
B	8.17
B	7.85
B	7.9
B	8.33
B	8.59
B	8.43
B	7.81
B	7.86
B	8.36
B	8.25
B	7.66
B	7.58
B	8.14
B	8.2
B	8.1
B	8.1
B	7.99
B	8.11
B	7.63
B	7.98
B	7.84
B	8.2
B	8.11
B	8.13
B	8.36
B	7.82
B	7.96
B	8.04
B	7.62
B	7.96
B	8.33
B	8.5
