Treatment	Genotype	motility	Pulse	Latency
A	I	10.98	72.8	0.46
A	I	6.48	68	0.84
A	I	10.87	72	0.25
A	I	2.23	70.8	0.46
A	I	0.05	72	0.37
A	I	1.58	72	0.21
A	I	2.32	70.4	0.1
A	I	6.59	68.8	0.02
A	I	10.38	72	0.76
A	I	11.31	68.4	0.08
A	I	7.36	72.4	0.78
A	I	7.21	72.8	0.56
A	I	10.38	72.4	0.75
A	I	10.50	71.6	0.75
A	I	7.75	70	0.93
A	I	0.16	73.6	0.75
A	I	9.85	71.6	0.62
A	I	1.21	70.4	0.66
A	I	11.33	72	0.72
A	I	3.24	69.6	0.13
A	I	6.22	70.8	0.25
A	I	4.61	72.8	0.53
A	I	7.77	70.8	0.43
A	I	2.38	74.4	0.26
A	I	8.17	70.4	0.75
A	I	3.27	72.4	0.52
A	I	6.99	70.4	0.61
A	I	11.90	73.2	0.75
A	I	7.96	69.6	1
A	I	4.67	73.6	0.45
A	I	11.26	75.2	0.88
A	I	5.90	71.2	0.03
A	I	9.07	75.6	0.45
A	I	3.70	72	0.07
A	I	8.46	74.8	0.35
A	I	7.57	71.2	0.63
A	I	1.97	71.2	0.27
A	I	11.54	72	0.7
A	I	3.37	70.8	0.55
A	I	6.99	75.6	0.91
A	I	8.65	73.6	0.34
A	I	2.74	72.8	0.9
A	I	1.00	72.4	0.95
A	I	1.47	70.4	0.37
A	I	11.24	71.6	0.86
A	I	8.15	74.8	0.93
A	I	11.94	72	0.59
A	I	3.44	72	0.75
A	I	10.20	72	0.89
A	I	5.49	77.2	0.24
A	I	3.23	71.2	0.54
A	I	10.65	75.2	0.6
A	I	1.50	71.6	0.43
A	I	6.38	70.4	0.61
A	I	7.29	70.8	0.69
B	I	10.21	71.6	0.83
B	I	1.45	70.8	0.69
B	I	3.88	76	0.31
B	I	2.23	74.4	0.12
B	I	8.76	74	0.06
B	I	0.01	72.4	0.64
B	I	10.18	72.8	0.99
B	I	3.37	70	0.18
B	I	1.04	71.2	0.09
B	I	6.05	72.8	0.56
B	I	11.36	74	0.63
B	I	3.28	70	0.07
B	I	10.94	70.4	0.85
B	I	0.84	71.6	0.01
B	I	2.28	70.4	0.81
B	I	0.98	72.4	0.45
B	I	5.55	75.6	0.66
B	I	10.39	69.2	0.6
B	I	11.26	71.2	0.94
B	I	11.91	69.2	0.53
B	I	3.14	72.4	0.19
B	I	9.05	74.4	0.4
B	I	3.97	74.4	0.47
B	I	1.84	69.6	0.84
B	I	10.77	70.4	0.19
B	I	9.85	69.6	0.89
B	I	5.11	70.8	0.95
B	I	4.05	70.4	0.74
B	I	3.98	74	0.49
B	I	2.94	69.6	0.99
B	I	4.53	73.6	0.07
B	I	7.57	68.4	0.35
B	I	2.02	72.4	0.95
B	I	2.71	69.6	0.34
B	I	5.98	73.2	0.09
