degree  	time 
STEM Student	255
Non-STEM Student	319
STEM Student	297
Non-STEM Student	321
STEM Student	50
STEM Student	313
Non-STEM Student	454
Non-STEM Student	394
STEM Student	387
STEM Student	330
Non-STEM Student	360
Non-STEM Student	275
STEM Student	336
Non-STEM Student	330
STEM Student	304
STEM Student	401
Non-STEM Student	386
STEM Student	326
STEM Student	261
STEM Student	440
STEM Student	491
STEM Student	339
STEM Student	100
STEM Student	314
STEM Student	320
Non-STEM Student	667
Non-STEM Student	375
STEM Student	310
STEM Student	310
STEM Student	316
STEM Student	386
STEM Student	332
STEM Student	333
STEM Student	356
Non-STEM Student	316
STEM Student	436
STEM Student	381
STEM Student	324
STEM Student	316
Non-STEM Student	317
Non-STEM Student	309
STEM Student	348
STEM Student	340
Non-STEM Student	291
Non-STEM Student	491
Non-STEM Student	337
STEM Student	342
STEM Student	332
STEM Student	391
STEM Student	266
Non-STEM Student	663
STEM Student	279
STEM Student	356
STEM Student	354
STEM Student	393
Non-STEM Student	305
STEM Student	310
STEM Student	397
STEM Student	334
STEM Student	409
STEM Student	314
STEM Student	288
STEM Student	350
STEM Student	356
STEM Student	369
STEM Student	294
STEM Student	339
STEM Student	408
STEM Student	341
STEM Student	393
Non-STEM Student	329
Non-STEM Student	355
Non-STEM Student	265
STEM Student	347
STEM Student	536
STEM Student	346
STEM Student	393
STEM Student	345
STEM Student	301
Non-STEM Student	324
Non-STEM Student	302
STEM Student	315
STEM Student	302
Non-STEM Student	498
Non-STEM Student	361
Non-STEM Student	336
Non-STEM Student	394
Non-STEM Student	348
Non-STEM Student	415
STEM Student	416
STEM Student	339
STEM Student	339
STEM Student	361
STEM Student	367
STEM Student	296
STEM Student	270
STEM Student	346
Non-STEM Student	298
STEM Student	332
Non-STEM Student	302
STEM Student	298
STEM Student	287
Non-STEM Student	445
Non-STEM Student	301
Non-STEM Student	320
STEM Student	298
Non-STEM Student	325
Non-STEM Student	338
STEM Student	275
Non-STEM Student	331
STEM Student	265
Non-STEM Student	325
Non-STEM Student	298
STEM Student	445.6
STEM Student	278
Non-STEM Student	379.2
STEM Student	208
Non-STEM Student	512
STEM Student	296
STEM Student	302
Non-STEM Student	310
Non-STEM Student	2
STEM Student	370
Non-STEM Student	290
Non-STEM Student	292
Non-STEM Student	266
Non-STEM Student	250
STEM Student	253
Non-STEM Student	345
STEM Student	241
STEM Student	237
Non-STEM Student	292
Non-STEM Student	265
STEM Student	267
Non-STEM Student	385
Non-STEM Student	213
Non-STEM Student	389
Non-STEM Student	385
Non-STEM Student	312
STEM Student	234
STEM Student	472
Non-STEM Student	354
STEM Student	247
Non-STEM Student	253
Non-STEM Student	265
STEM Student	419
Non-STEM Student	259
Non-STEM Student	278
STEM Student	305
STEM Student	382
STEM Student	223
STEM Student	264
STEM Student	317
Non-STEM Student	380
STEM Student	252
Non-STEM Student	248
Non-STEM Student	401
STEM Student	218
Non-STEM Student	270
STEM Student	351
Non-STEM Student	420
Non-STEM Student	320
STEM Student	266
Non-STEM Student	314
Non-STEM Student	305
STEM Student	373
Non-STEM Student	371
STEM Student	204
STEM Student	336
Non-STEM Student	264
Non-STEM Student	324
Non-STEM Student	480
Non-STEM Student	371
Non-STEM Student	327
Non-STEM Student	335
Non-STEM Student	307
Non-STEM Student	501
Non-STEM Student	382
Non-STEM Student	339
Non-STEM Student	368
STEM Student	353
STEM Student	428
STEM Student	322
STEM Student	272
STEM Student	342
STEM Student	314
STEM Student	328
Non-STEM Student	542
Non-STEM Student	386
Non-STEM Student	325
STEM Student	492
Non-STEM Student	524
STEM Student	338
Non-STEM Student	275
STEM Student	266
Non-STEM Student	434
Non-STEM Student	615
STEM Student	390
Non-STEM Student	363
Non-STEM Student	446
Non-STEM Student	308
STEM Student	516
STEM Student	610
STEM Student	411
STEM Student	424
STEM Student	412
Non-STEM Student	356
Non-STEM Student	282
Non-STEM Student	417
Non-STEM Student	452
Non-STEM Student	383
STEM Student	300
STEM Student	406
STEM Student	321
STEM Student	352
STEM Student	405
Non-STEM Student	367
STEM Student	456
STEM Student	367
STEM Student	232
STEM Student	308
STEM Student	223
STEM Student	459
STEM Student	322
STEM Student	326
Non-STEM Student	455
Non-STEM Student	558
Non-STEM Student	509
Non-STEM Student	494
STEM Student	316
Non-STEM Student	542
Non-STEM Student	286
Non-STEM Student	323
STEM Student	198
STEM Student	308
STEM Student	423
Non-STEM Student	289
STEM Student	401
Non-STEM Student	313
STEM Student	268
Non-STEM Student	318
STEM Student	316
STEM Student	320
STEM Student	240
Non-STEM Student	339
STEM Student	288
STEM Student	262
STEM Student	300
STEM Student	279
STEM Student	276
Non-STEM Student	388
Non-STEM Student	381
Non-STEM Student	442
STEM Student	305
STEM Student	262
STEM Student	197
STEM Student	370
STEM Student	326
STEM Student	267
Non-STEM Student	346
Non-STEM Student	239
Non-STEM Student	295
STEM Student	301
STEM Student	373
STEM Student	335
STEM Student	269
STEM Student	257
STEM Student	293
Non-STEM Student	357
Non-STEM Student	266
Non-STEM Student	281
Non-STEM Student	445
STEM Student	374
STEM Student	254
Non-STEM Student	241
Non-STEM Student	391
Non-STEM Student	317
STEM Student	345
STEM Student	343
STEM Student	405
Non-STEM Student	310
STEM Student	231
Non-STEM Student	372
STEM Student	417
Non-STEM Student	319
STEM Student	423
Non-STEM Student	266
STEM Student	414
Non-STEM Student	400
STEM Student	284
Non-STEM Student	327
Non-STEM Student	509
Non-STEM Student	412
Non-STEM Student	258
STEM Student	389
STEM Student	178
Non-STEM Student	490
STEM Student	315
STEM Student	235
STEM Student	379
STEM Student	261
Non-STEM Student	320
STEM Student	356
Non-STEM Student	521
Non-STEM Student	284
STEM Student	255
STEM Student	193
STEM Student	356
Non-STEM Student	335
Non-STEM Student	303
Non-STEM Student	514
STEM Student	338
Non-STEM Student	248
STEM Student	211
Non-STEM Student	273
Non-STEM Student	361
STEM Student	315
Non-STEM Student	480
STEM Student	346
Non-STEM Student	420
STEM Student	246
STEM Student	329
STEM Student	389
STEM Student	247
STEM Student	275
Non-STEM Student	278
Non-STEM Student	257
Non-STEM Student	373
STEM Student	313
STEM Student	214
STEM Student	237
STEM Student	289
Non-STEM Student	233
STEM Student	193
STEM Student	331
STEM Student	286
STEM Student	209
STEM Student	321
Non-STEM Student	329
Non-STEM Student	412
Non-STEM Student	253
STEM Student	286
STEM Student	218
Non-STEM Student	367
Non-STEM Student	438
STEM Student	102
Non-STEM Student	410
Non-STEM Student	459
Non-STEM Student	373
STEM Student	298
Non-STEM Student	309
STEM Student	270
Non-STEM Student	581
Non-STEM Student	224
Non-STEM Student	363
STEM Student	214
Non-STEM Student	411
STEM Student	257
