x	y
1	3.95
1.5	9.73
2	8.49
2.5	7.20
3	7.32
3.5	8.03
4	8.43
4.5	7.62
5	7.70
5.5	7.59
6	3.28
6.5	8.57
7	8.77
7.5	9.62
8	8.49
8.5	7.55
9	8.05
9.5	8.96
10	11.28
10.5	7.49
11	14.33
11.5	9.07
12	14.01
12.5	12.39
13	9.34
13.5	12.72
14	10.26
14.5	10.50
15	14.14
15.5	11.63
16	13.30
16.5	12.18
17	11.62
17.5	14.61
18	14.83
18.5	11.73
19	13.40
19.5	13.12
20	13.62
20.5	14.02
21	15.17
21.5	17.45
22	19.59
22.5	13.77
23	12.60
23.5	18.58
24	16.81
24.5	17.70
25	18.16
25.5	19.95
26	18.23
26.5	17.98
27	14.11
27.5	21.65
28	19.50
28.5	19.25
29	19.19
29.5	15.15
30	19.26
