"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",2.2812721133045e-07,1.14063605665225e-05,0.690132458796796,0.500893238521872,1.93110677528105,183,"SPARCL1;GPX3;STOM;OMD;COL4A1;PREB;TST;LEP;SLC5A6;ACADS;MAP4K3;CD302;BCL6;FZD4;PPARG;STAT5A;SORBS1;PPM1B;CAT;ANGPT1;TANK;SLC1A5;UQCRC1;RIOK3;GBE1;ITSN1;PFKFB3;FABP4;MCCC1;LPCAT3;CMPK1;GPD2;DLAT;JAGN1;DHRS7B;MRPL15;GRPEL1;PHLDB1;PEMT;IFNGR1;LIPE;CHUK;UBQLN1;MGLL;LIFR;ALDH2;DNAJC15;ANGPTL4;DDT;ADIPOR2;PRDX3;POR;ACADM;UBC;ATL2;NABP1;SLC25A1;ECH1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",3.26644726511172e-06,8.16611816277931e-05,0.627256739718528,0.484937212180889,1.86268607565322,175,"DUSP1;PER1;PTX3;DNAJB4;TSC22D1;CEBPD;IRS2;KLF9;PDLIM5;NR4A3;ATF3;CFLAR;MAFF;MAP3K8;GADD45B;KLF6;DUSP5;SAT1;RHOB;TGIF1;MYC;NFIL3;BCL6;NAMPT;GCH1;GFPT2;STAT5A;MCL1;TNIP1;CCNL1;NR4A1;INHBA;TANK;MAP2K3;SERPINB8;TNIP2;NFKBIA;SGK1;TIPARP;F3;PFKFB3;TNFAIP3;BTG1;CSF1;EHD1;GEM;PNRC1;SOD2;PANX1;PTPRE;LDLR;ZBTB10;ATP2B1;ZFP36;RCAN1;CEBPB;FJX1;TNFAIP8;FUT4"
"HALLMARK_ANDROGEN_RESPONSE",0.000303863471451482,0.00506439119085803,0.49849310876659,0.507123191773238,1.77624780105876,89,"ADAMTS1;TSC22D1;PDLIM5;FKBP5;STEAP4;CDC14B;SAT1;SLC38A2;CCND3;MYL12A;TMEM50A;SPCS3;SRF;DHCR24;UAP1;GPD1L;GSR;PTK2B;UBE2J1;VAPA;ABCC4;SGK1;SLC26A2;ABHD2;ELOVL5;ZBTB10;TNFAIP8;CAMKK2;BMPR1B;HERC3;ELL2;LIFR;ACTN1"
"HALLMARK_P53_PATHWAY",0.000448256825437052,0.00560321031796315,0.49849310876659,-0.375269486871429,-1.60624808622639,177,"CDKN1A;RAP2B;HSPA4L;LIF;PLK2;CDKN2B;SLC7A11;FGF13;RRAD;SDC1;FDXR;SOCS1;TRIB3;CYFIP2;JUN;MDM2;PCNA;DDIT3;XPC;IER3;ZFP36L1;NOTCH1;ZMAT3;NINJ1;KLF4;CASP1;VWA5A;ZNF365;UPP1;PPM1D;CCND2;TP53;HMOX1;CLCA2;POLH;RALGDS;BTG2;TSPYL2;TRAF4;TNFSF9;CDKN2A;SEC61A1;NUPR1;JAG2;DDB2;S100A4;ADA;PLXNB2"
"HALLMARK_IL2_STAT5_SIGNALING",0.000953936651027048,0.00794947209189207,0.477270815362862,0.430295198462562,1.61940907762966,152,"ANXA4;DHRS3;MAFF;NCOA3;MAP3K8;GADD45B;KLF6;EMP1;MYO1E;RHOB;SWAP70;CCND3;MYC;PLEC;LCLAT1;NFIL3;HIPK2;SPRED2;MUC1;CASP3;IGF1R;BATF3;SLC1A5;GABARAPL1;ALCAM;FURIN;TNFRSF1B;MYO1C;GSTO1;SYNGR2;RORA;PRKCH;IRF4;NFKBIZ;CDC42SE2;CSF1;ENPP1;AHNAK;ITGA6;MAPKAPK2;NOP2;TGM2;ADAM19;PUS1;PNP;IFNGR1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.000951279445870984,0.00794947209189207,0.477270815362862,0.419872693595845,1.61382822566499,181,"ALDH6A1;CPT1A;LDHA;CYB5A;COX11;VDAC2;ISCA1;UQCRC1;SLC25A4;IDH2;ATP1B1;PDK4;ATP6V1E1;DLAT;ATP6V0B;ECI1;MPC1;ACADSB;TCIRG1;MRPL15;GRPEL1;ETFA;MAOB;SLC25A12;FH;GLUD1;SLC25A3;ATP6V0E1;PRDX3;PDHB;POR;ACADM;CYB5R3;ECH1;NDUFC2;ATP6V1D;HADHA;DLST;MRPL34;POLR2F;NDUFA4;NDUFA1;MDH2;HSD17B10;CYCS;VDAC1;COX7A2;SDHD;HADHB;MRPS12;COX8A;IDH3A;AFG3L2;ACAT1;NDUFA5;PMPCA;ATP6V1C1;ACAA2;COX10;NDUFS1;NDUFV1;SDHB;TIMM13;OPA1;LDHB;UQCRFS1;IMMT;COX5A;NDUFB6;CYC1"
"HALLMARK_COMPLEMENT",0.00149440885477015,0.0102138048955049,0.45505986738723,0.427822226880482,1.60103675401365,144,"CTSC;MAFF;COL4A2;RAF1;DUSP5;GNB4;DGKH;MMP15;SERPING1;GMFB;CASP3;PPP2CB;PREP;MSRB1;PSEN1;LGMN;PIK3CA;JAK2;CFH;CALM1;ZEB1;ANG;F10;F3;GNB2;TNFAIP3;GPD2;CPM;EHD1;CEBPB;CBLB;C1R;GCA;IRF2;VCPIP1;USP14;LYN;PPP4C;PFN1;SRC;CTSB;SH2B3;USP16;CDH13;LIPA;SERPINE1;ANXA5;CXCL1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00163420878328078,0.0102138048955049,0.45505986738723,0.422636897628372,1.59336870960773,154,"MAOA;MT2A;PDLIM5;DCXR;ATP2A2;SPINT2;ADH1C;GCH1;SLC35D1;CAT;NPC1;GSR;CYB5A;AOX1;MAN1A1;SLC1A5;GABARAPL1;ATOH8;GSTO1;ABCC3;UGDH;SSR3;F10;TMBIM6;PDK4;ARPP19;MCCC2;ACP2;XDH;ELOVL5;PINK1;GCNT2;PEMT;MTHFD1;ADH5;SAR1B;ASL;HSD11B1;ALDH2;CDO1;TMEM176B;PAPSS2;DDT;POR;ABHD6;ECH1;COMT;PROS1;PC;PMM1;FMO3;ID2;PPARD;ENTPD5;TMEM97"
"HALLMARK_E2F_TARGETS",0.00242783317530536,0.0121391658765268,0.431707695803346,-0.345599680958883,-1.4922688693881,192,"CDKN1A;TUBB;CDK4;CIT;BRCA1;PCNA;LIG1;CBX5;PSIP1;EZH2;PPM1D;TP53;HMGA1;MCM4;SMC4;MCM2;HMGB3;MSH2;PRIM2;CDC25B;NBN;LMNB1;MLH1;CDKN2A;TIMELESS;TMPO;PRPS1;MCM7;CTCF;NUP205;TCF19;PMS2;CCNE1;CCP110;BRCA2;ANP32E;RPA1;CHEK2;GINS4;PAICS;NASP;TUBG1;UNG;PDS5B;POLD1;CKS1B;RPA2;TOP2A;CENPE;SMC1A;RFC2;PLK4;RAD51AP1;ATAD2;XPO1;POLD3;KPNA2"
"HALLMARK_UV_RESPONSE_DN",0.00219802881054243,0.0121391658765268,0.431707695803346,0.436933189006561,1.62111607250381,137,"DUSP1;COL11A1;MT1E;ANXA4;PDLIM5;TGFBR2;CITED2;APBB2;RBPMS;ANXA2;DDAH1;CELF2;LAMC1;LTBP1;IRS1;MYC;AMPH;PPARG;PIK3CD;RUNX1;IGF1R;SLC22A18;LPAR1;SRI;CAV1;PLCB4;F3;FBLN5;PDGFRB;MET;GRK5;SDC2;COL5A2;MAPK14;PRKAR2B;LDLR;ATP2B1;TJP1;PTPRM;MGLL;FHL2;AKT3;PRDM2;RXRA;WDR37;NEK7"
